Pokemon,Move,Accuracy,BasePower,Category,PP,Priority,CritRatio,Target,Type
croconaw,cut,95,50,Physical,30,0,1,normal,Normal
feraligatr,cut,95,50,Physical,30,0,1,normal,Normal
sentret,cut,95,50,Physical,30,0,1,normal,Normal
furret,cut,95,50,Physical,30,0,1,normal,Normal
bellossom,cut,95,50,Physical,30,0,1,normal,Normal
aipom,cut,95,50,Physical,30,0,1,normal,Normal
sunkern,cut,95,50,Physical,30,0,1,normal,Normal
sunflora,cut,95,50,Physical,30,0,1,normal,Normal
espeon,cut,95,50,Physical,30,0,1,normal,Normal
umbreon,cut,95,50,Physical,30,0,1,normal,Normal
gligar,cut,95,50,Physical,30,0,1,normal,Normal
steelix,cut,95,50,Physical,30,0,1,normal,Normal
scizor,cut,95,50,Physical,30,0,1,normal,Normal
heracross,cut,95,50,Physical,30,0,1,normal,Normal
sneasel,cut,95,50,Physical,30,0,1,normal,Normal
teddiursa,cut,95,50,Physical,30,0,1,normal,Normal
ursaring,cut,95,50,Physical,30,0,1,normal,Normal
skarmory,cut,95,50,Physical,30,0,1,normal,Normal
raikou,cut,95,50,Physical,30,0,1,normal,Normal
entei,cut,95,50,Physical,30,0,1,normal,Normal
suicune,cut,95,50,Physical,30,0,1,normal,Normal
tyranitar,cut,95,50,Physical,30,0,1,normal,Normal
celebi,cut,95,50,Physical,30,0,1,normal,Normal
treecko,cut,95,50,Physical,30,0,1,normal,Normal
grovyle,cut,95,50,Physical,30,0,1,normal,Normal
sceptile,cut,95,50,Physical,30,0,1,normal,Normal
torchic,cut,95,50,Physical,30,0,1,normal,Normal
combusken,cut,95,50,Physical,30,0,1,normal,Normal
blaziken,cut,95,50,Physical,30,0,1,normal,Normal
zigzagoon,cut,95,50,Physical,30,0,1,normal,Normal
linoone,cut,95,50,Physical,30,0,1,normal,Normal
nuzleaf,cut,95,50,Physical,30,0,1,normal,Normal
shiftry,cut,95,50,Physical,30,0,1,normal,Normal
breloom,cut,95,50,Physical,30,0,1,normal,Normal
slakoth,cut,95,50,Physical,30,0,1,normal,Normal
vigoroth,cut,95,50,Physical,30,0,1,normal,Normal
slaking,cut,95,50,Physical,30,0,1,normal,Normal
nincada,cut,95,50,Physical,30,0,1,normal,Normal
ninjask,cut,95,50,Physical,30,0,1,normal,Normal
shedinja,cut,95,50,Physical,30,0,1,normal,Normal
sableye,cut,95,50,Physical,30,0,1,normal,Normal
aron,cut,95,50,Physical,30,0,1,normal,Normal
lairon,cut,95,50,Physical,30,0,1,normal,Normal
aggron,cut,95,50,Physical,30,0,1,normal,Normal
roselia,cut,95,50,Physical,30,0,1,normal,Normal
cacnea,cut,95,50,Physical,30,0,1,normal,Normal
cacturne,cut,95,50,Physical,30,0,1,normal,Normal
corphish,cut,95,50,Physical,30,0,1,normal,Normal
crawdaunt,cut,95,50,Physical,30,0,1,normal,Normal
anorith,cut,95,50,Physical,30,0,1,normal,Normal
armaldo,cut,95,50,Physical,30,0,1,normal,Normal
kecleon,cut,95,50,Physical,30,0,1,normal,Normal
tropius,cut,95,50,Physical,30,0,1,normal,Normal
absol,cut,95,50,Physical,30,0,1,normal,Normal
bagon,cut,95,50,Physical,30,0,1,normal,Normal
shelgon,cut,95,50,Physical,30,0,1,normal,Normal
salamence,cut,95,50,Physical,30,0,1,normal,Normal
metang,cut,95,50,Physical,30,0,1,normal,Normal
metagross,cut,95,50,Physical,30,0,1,normal,Normal
latias,cut,95,50,Physical,30,0,1,normal,Normal
latios,cut,95,50,Physical,30,0,1,normal,Normal
groudon,cut,95,50,Physical,30,0,1,normal,Normal
deoxys,cut,95,50,Physical,30,0,1,normal,Normal
turtwig,cut,95,50,Physical,30,0,1,normal,Normal
grotle,cut,95,50,Physical,30,0,1,normal,Normal
torterra,cut,95,50,Physical,30,0,1,normal,Normal
chimchar,cut,95,50,Physical,30,0,1,normal,Normal
monferno,cut,95,50,Physical,30,0,1,normal,Normal
infernape,cut,95,50,Physical,30,0,1,normal,Normal
piplup,cut,95,50,Physical,30,0,1,normal,Normal
prinplup,cut,95,50,Physical,30,0,1,normal,Normal
empoleon,cut,95,50,Physical,30,0,1,normal,Normal
bidoof,cut,95,50,Physical,30,0,1,normal,Normal
bibarel,cut,95,50,Physical,30,0,1,normal,Normal
kricketune,cut,95,50,Physical,30,0,1,normal,Normal
budew,cut,95,50,Physical,30,0,1,normal,Normal
roserade,cut,95,50,Physical,30,0,1,normal,Normal
rampardos,cut,95,50,Physical,30,0,1,normal,Normal
vespiquen,cut,95,50,Physical,30,0,1,normal,Normal
pachirisu,cut,95,50,Physical,30,0,1,normal,Normal
ambipom,cut,95,50,Physical,30,0,1,normal,Normal
drifloon,cut,95,50,Physical,30,0,1,normal,Normal
drifblim,cut,95,50,Physical,30,0,1,normal,Normal
buneary,cut,95,50,Physical,30,0,1,normal,Normal
lopunny,cut,95,50,Physical,30,0,1,normal,Normal
glameow,cut,95,50,Physical,30,0,1,normal,Normal
purugly,cut,95,50,Physical,30,0,1,normal,Normal
stunky,cut,95,50,Physical,30,0,1,normal,Normal
skuntank,cut,95,50,Physical,30,0,1,normal,Normal
gible,cut,95,50,Physical,30,0,1,normal,Normal
gabite,cut,95,50,Physical,30,0,1,normal,Normal
garchomp,cut,95,50,Physical,30,0,1,normal,Normal
skorupi,cut,95,50,Physical,30,0,1,normal,Normal
drapion,cut,95,50,Physical,30,0,1,normal,Normal
toxicroak,cut,95,50,Physical,30,0,1,normal,Normal
carnivine,cut,95,50,Physical,30,0,1,normal,Normal
weavile,cut,95,50,Physical,30,0,1,normal,Normal
lickilicky,cut,95,50,Physical,30,0,1,normal,Normal
rhyperior,cut,95,50,Physical,30,0,1,normal,Normal
tangrowth,cut,95,50,Physical,30,0,1,normal,Normal
gliscor,cut,95,50,Physical,30,0,1,normal,Normal
gallade,cut,95,50,Physical,30,0,1,normal,Normal
dialga,cut,95,50,Physical,30,0,1,normal,Normal
palkia,cut,95,50,Physical,30,0,1,normal,Normal
giratina,cut,95,50,Physical,30,0,1,normal,Normal
darkrai,cut,95,50,Physical,30,0,1,normal,Normal
arceus,cut,95,50,Physical,30,0,1,normal,Normal
snivy,cut,95,50,Physical,30,0,1,normal,Normal
servine,cut,95,50,Physical,30,0,1,normal,Normal
serperior,cut,95,50,Physical,30,0,1,normal,Normal
oshawott,cut,95,50,Physical,30,0,1,normal,Normal
dewott,cut,95,50,Physical,30,0,1,normal,Normal
samurott,cut,95,50,Physical,30,0,1,normal,Normal
samurott-hisui,cut,95,50,Physical,30,0,1,normal,Normal
patrat,cut,95,50,Physical,30,0,1,normal,Normal
watchog,cut,95,50,Physical,30,0,1,normal,Normal
purrloin,cut,95,50,Physical,30,0,1,normal,Normal
liepard,cut,95,50,Physical,30,0,1,normal,Normal
pansage,cut,95,50,Physical,30,0,1,normal,Normal
simisage,cut,95,50,Physical,30,0,1,normal,Normal
pansear,cut,95,50,Physical,30,0,1,normal,Normal
simisear,cut,95,50,Physical,30,0,1,normal,Normal
panpour,cut,95,50,Physical,30,0,1,normal,Normal
simipour,cut,95,50,Physical,30,0,1,normal,Normal
drilbur,cut,95,50,Physical,30,0,1,normal,Normal
excadrill,cut,95,50,Physical,30,0,1,normal,Normal
sewaddle,cut,95,50,Physical,30,0,1,normal,Normal
swadloon,cut,95,50,Physical,30,0,1,normal,Normal
leavanny,cut,95,50,Physical,30,0,1,normal,Normal
scolipede,cut,95,50,Physical,30,0,1,normal,Normal
petilil,cut,95,50,Physical,30,0,1,normal,Normal
lilligant,cut,95,50,Physical,30,0,1,normal,Normal
lilligant-hisui,cut,95,50,Physical,30,0,1,normal,Normal
basculin,cut,95,50,Physical,30,0,1,normal,Normal
sandile,cut,95,50,Physical,30,0,1,normal,Normal
krokorok,cut,95,50,Physical,30,0,1,normal,Normal
krookodile,cut,95,50,Physical,30,0,1,normal,Normal
dwebble,cut,95,50,Physical,30,0,1,normal,Normal
crustle,cut,95,50,Physical,30,0,1,normal,Normal
archen,cut,95,50,Physical,30,0,1,normal,Normal
archeops,cut,95,50,Physical,30,0,1,normal,Normal
zorua,cut,95,50,Physical,30,0,1,normal,Normal
zoroark,cut,95,50,Physical,30,0,1,normal,Normal
sawsbuck,cut,95,50,Physical,30,0,1,normal,Normal
emolga,cut,95,50,Physical,30,0,1,normal,Normal
karrablast,cut,95,50,Physical,30,0,1,normal,Normal
escavalier,cut,95,50,Physical,30,0,1,normal,Normal
joltik,cut,95,50,Physical,30,0,1,normal,Normal
galvantula,cut,95,50,Physical,30,0,1,normal,Normal
ferrothorn,cut,95,50,Physical,30,0,1,normal,Normal
eelektross,cut,95,50,Physical,30,0,1,normal,Normal
axew,cut,95,50,Physical,30,0,1,normal,Normal
fraxure,cut,95,50,Physical,30,0,1,normal,Normal
haxorus,cut,95,50,Physical,30,0,1,normal,Normal
cubchoo,cut,95,50,Physical,30,0,1,normal,Normal
beartic,cut,95,50,Physical,30,0,1,normal,Normal
druddigon,cut,95,50,Physical,30,0,1,normal,Normal
pawniard,cut,95,50,Physical,30,0,1,normal,Normal
bisharp,cut,95,50,Physical,30,0,1,normal,Normal
bouffalant,cut,95,50,Physical,30,0,1,normal,Normal
rufflet,cut,95,50,Physical,30,0,1,normal,Normal
braviary,cut,95,50,Physical,30,0,1,normal,Normal
braviary-hisui,cut,95,50,Physical,30,0,1,normal,Normal
vullaby,cut,95,50,Physical,30,0,1,normal,Normal
mandibuzz,cut,95,50,Physical,30,0,1,normal,Normal
heatmor,cut,95,50,Physical,30,0,1,normal,Normal
durant,cut,95,50,Physical,30,0,1,normal,Normal
cobalion,cut,95,50,Physical,30,0,1,normal,Normal
terrakion,cut,95,50,Physical,30,0,1,normal,Normal
virizion,cut,95,50,Physical,30,0,1,normal,Normal
reshiram,cut,95,50,Physical,30,0,1,normal,Normal
zekrom,cut,95,50,Physical,30,0,1,normal,Normal
kyurem,cut,95,50,Physical,30,0,1,normal,Normal
kyurem-black,cut,95,50,Physical,30,0,1,normal,Normal
kyurem-white,cut,95,50,Physical,30,0,1,normal,Normal
keldeo,cut,95,50,Physical,30,0,1,normal,Normal
chespin,cut,95,50,Physical,30,0,1,normal,Normal
quilladin,cut,95,50,Physical,30,0,1,normal,Normal
chesnaught,cut,95,50,Physical,30,0,1,normal,Normal
fennekin,cut,95,50,Physical,30,0,1,normal,Normal
braixen,cut,95,50,Physical,30,0,1,normal,Normal
delphox,cut,95,50,Physical,30,0,1,normal,Normal
froakie,cut,95,50,Physical,30,0,1,normal,Normal
frogadier,cut,95,50,Physical,30,0,1,normal,Normal
greninja,cut,95,50,Physical,30,0,1,normal,Normal
bunnelby,cut,95,50,Physical,30,0,1,normal,Normal
diggersby,cut,95,50,Physical,30,0,1,normal,Normal
pancham,cut,95,50,Physical,30,0,1,normal,Normal
pangoro,cut,95,50,Physical,30,0,1,normal,Normal
espurr,cut,95,50,Physical,30,0,1,normal,Normal
meowstic,cut,95,50,Physical,30,0,1,normal,Normal
meowstic-f,cut,95,50,Physical,30,0,1,normal,Normal
honedge,cut,95,50,Physical,30,0,1,normal,Normal
doublade,cut,95,50,Physical,30,0,1,normal,Normal
aegislash,cut,95,50,Physical,30,0,1,normal,Normal
inkay,cut,95,50,Physical,30,0,1,normal,Normal
malamar,cut,95,50,Physical,30,0,1,normal,Normal
binacle,cut,95,50,Physical,30,0,1,normal,Normal
barbaracle,cut,95,50,Physical,30,0,1,normal,Normal
clauncher,cut,95,50,Physical,30,0,1,normal,Normal
clawitzer,cut,95,50,Physical,30,0,1,normal,Normal
helioptile,cut,95,50,Physical,30,0,1,normal,Normal
heliolisk,cut,95,50,Physical,30,0,1,normal,Normal
sylveon,cut,95,50,Physical,30,0,1,normal,Normal
hawlucha,cut,95,50,Physical,30,0,1,normal,Normal
dedenne,cut,95,50,Physical,30,0,1,normal,Normal
klefki,cut,95,50,Physical,30,0,1,normal,Normal
phantump,cut,95,50,Physical,30,0,1,normal,Normal
trevenant,cut,95,50,Physical,30,0,1,normal,Normal
noibat,cut,95,50,Physical,30,0,1,normal,Normal
noivern,cut,95,50,Physical,30,0,1,normal,Normal
xerneas,cut,95,50,Physical,30,0,1,normal,Normal
yveltal,cut,95,50,Physical,30,0,1,normal,Normal
volcanion,cut,95,50,Physical,30,0,1,normal,Normal
kartana,cut,95,50,Physical,30,0,1,normal,Normal
kleavor,cut,95,50,Physical,30,0,1,normal,Normal
ursaluna,cut,95,50,Physical,30,0,1,normal,Normal
kingambit,cut,95,50,Physical,30,0,1,normal,Normal
bulbasaur,sludge,100,65,Special,20,0,1,normal,Poison
ivysaur,sludge,100,65,Special,20,0,1,normal,Poison
venusaur,sludge,100,65,Special,20,0,1,normal,Poison
grimer,sludge,100,65,Special,20,0,1,normal,Poison
muk,sludge,100,65,Special,20,0,1,normal,Poison
koffing,sludge,100,65,Special,20,0,1,normal,Poison
weezing,sludge,100,65,Special,20,0,1,normal,Poison
weezing-galar,sludge,100,65,Special,20,0,1,normal,Poison
mudkip,sludge,100,65,Special,20,0,1,normal,Poison
marshtomp,sludge,100,65,Special,20,0,1,normal,Poison
swampert,sludge,100,65,Special,20,0,1,normal,Poison
gulpin,sludge,100,65,Special,20,0,1,normal,Poison
swalot,sludge,100,65,Special,20,0,1,normal,Poison
shellos,sludge,100,65,Special,20,0,1,normal,Poison
gastrodon,sludge,100,65,Special,20,0,1,normal,Poison
trubbish,sludge,100,65,Special,20,0,1,normal,Poison
garbodor,sludge,100,65,Special,20,0,1,normal,Poison
varoom,sludge,100,65,Special,20,0,1,normal,Poison
revavroom,sludge,100,65,Special,20,0,1,normal,Poison
bulbasaur,confide,TRUE,0,Status,20,0,1,normal,Normal
ivysaur,confide,TRUE,0,Status,20,0,1,normal,Normal
venusaur,confide,TRUE,0,Status,20,0,1,normal,Normal
charmander,confide,TRUE,0,Status,20,0,1,normal,Normal
charmeleon,confide,TRUE,0,Status,20,0,1,normal,Normal
charizard,confide,TRUE,0,Status,20,0,1,normal,Normal
squirtle,confide,TRUE,0,Status,20,0,1,normal,Normal
wartortle,confide,TRUE,0,Status,20,0,1,normal,Normal
blastoise,confide,TRUE,0,Status,20,0,1,normal,Normal
butterfree,confide,TRUE,0,Status,20,0,1,normal,Normal
beedrill,confide,TRUE,0,Status,20,0,1,normal,Normal
pidgey,confide,TRUE,0,Status,20,0,1,normal,Normal
pidgeotto,confide,TRUE,0,Status,20,0,1,normal,Normal
pidgeot,confide,TRUE,0,Status,20,0,1,normal,Normal
rattata,confide,TRUE,0,Status,20,0,1,normal,Normal
rattata-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
raticate,confide,TRUE,0,Status,20,0,1,normal,Normal
raticate-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
spearow,confide,TRUE,0,Status,20,0,1,normal,Normal
fearow,confide,TRUE,0,Status,20,0,1,normal,Normal
ekans,confide,TRUE,0,Status,20,0,1,normal,Normal
arbok,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-cosplay,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-original,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-hoenn,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-sinnoh,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-unova,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-kalos,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
pikachu-partner,confide,TRUE,0,Status,20,0,1,normal,Normal
raichu,confide,TRUE,0,Status,20,0,1,normal,Normal
raichu-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
sandshrew,confide,TRUE,0,Status,20,0,1,normal,Normal
sandshrew-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
sandslash,confide,TRUE,0,Status,20,0,1,normal,Normal
sandslash-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
nidoran-f,confide,TRUE,0,Status,20,0,1,normal,Normal
nidorina,confide,TRUE,0,Status,20,0,1,normal,Normal
nidoqueen,confide,TRUE,0,Status,20,0,1,normal,Normal
nidoran-m,confide,TRUE,0,Status,20,0,1,normal,Normal
nidorino,confide,TRUE,0,Status,20,0,1,normal,Normal
nidoking,confide,TRUE,0,Status,20,0,1,normal,Normal
clefairy,confide,TRUE,0,Status,20,0,1,normal,Normal
clefable,confide,TRUE,0,Status,20,0,1,normal,Normal
vulpix,confide,TRUE,0,Status,20,0,1,normal,Normal
vulpix-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
ninetales,confide,TRUE,0,Status,20,0,1,normal,Normal
ninetales-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
jigglypuff,confide,TRUE,0,Status,20,0,1,normal,Normal
wigglytuff,confide,TRUE,0,Status,20,0,1,normal,Normal
zubat,confide,TRUE,0,Status,20,0,1,normal,Normal
golbat,confide,TRUE,0,Status,20,0,1,normal,Normal
oddish,confide,TRUE,0,Status,20,0,1,normal,Normal
gloom,confide,TRUE,0,Status,20,0,1,normal,Normal
vileplume,confide,TRUE,0,Status,20,0,1,normal,Normal
paras,confide,TRUE,0,Status,20,0,1,normal,Normal
parasect,confide,TRUE,0,Status,20,0,1,normal,Normal
venonat,confide,TRUE,0,Status,20,0,1,normal,Normal
venomoth,confide,TRUE,0,Status,20,0,1,normal,Normal
diglett,confide,TRUE,0,Status,20,0,1,normal,Normal
diglett-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
dugtrio,confide,TRUE,0,Status,20,0,1,normal,Normal
dugtrio-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
meowth,confide,TRUE,0,Status,20,0,1,normal,Normal
meowth-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
persian,confide,TRUE,0,Status,20,0,1,normal,Normal
persian-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
psyduck,confide,TRUE,0,Status,20,0,1,normal,Normal
golduck,confide,TRUE,0,Status,20,0,1,normal,Normal
mankey,confide,TRUE,0,Status,20,0,1,normal,Normal
primeape,confide,TRUE,0,Status,20,0,1,normal,Normal
growlithe,confide,TRUE,0,Status,20,0,1,normal,Normal
arcanine,confide,TRUE,0,Status,20,0,1,normal,Normal
poliwag,confide,TRUE,0,Status,20,0,1,normal,Normal
poliwhirl,confide,TRUE,0,Status,20,0,1,normal,Normal
poliwrath,confide,TRUE,0,Status,20,0,1,normal,Normal
abra,confide,TRUE,0,Status,20,0,1,normal,Normal
kadabra,confide,TRUE,0,Status,20,0,1,normal,Normal
alakazam,confide,TRUE,0,Status,20,0,1,normal,Normal
machop,confide,TRUE,0,Status,20,0,1,normal,Normal
machoke,confide,TRUE,0,Status,20,0,1,normal,Normal
machamp,confide,TRUE,0,Status,20,0,1,normal,Normal
bellsprout,confide,TRUE,0,Status,20,0,1,normal,Normal
weepinbell,confide,TRUE,0,Status,20,0,1,normal,Normal
victreebel,confide,TRUE,0,Status,20,0,1,normal,Normal
tentacool,confide,TRUE,0,Status,20,0,1,normal,Normal
tentacruel,confide,TRUE,0,Status,20,0,1,normal,Normal
geodude,confide,TRUE,0,Status,20,0,1,normal,Normal
geodude-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
graveler,confide,TRUE,0,Status,20,0,1,normal,Normal
graveler-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
golem,confide,TRUE,0,Status,20,0,1,normal,Normal
golem-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
ponyta,confide,TRUE,0,Status,20,0,1,normal,Normal
rapidash,confide,TRUE,0,Status,20,0,1,normal,Normal
slowpoke,confide,TRUE,0,Status,20,0,1,normal,Normal
slowbro,confide,TRUE,0,Status,20,0,1,normal,Normal
magnemite,confide,TRUE,0,Status,20,0,1,normal,Normal
magneton,confide,TRUE,0,Status,20,0,1,normal,Normal
farfetch’d,confide,TRUE,0,Status,20,0,1,normal,Normal
doduo,confide,TRUE,0,Status,20,0,1,normal,Normal
dodrio,confide,TRUE,0,Status,20,0,1,normal,Normal
seel,confide,TRUE,0,Status,20,0,1,normal,Normal
dewgong,confide,TRUE,0,Status,20,0,1,normal,Normal
grimer,confide,TRUE,0,Status,20,0,1,normal,Normal
grimer-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
muk,confide,TRUE,0,Status,20,0,1,normal,Normal
muk-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
shellder,confide,TRUE,0,Status,20,0,1,normal,Normal
cloyster,confide,TRUE,0,Status,20,0,1,normal,Normal
gastly,confide,TRUE,0,Status,20,0,1,normal,Normal
haunter,confide,TRUE,0,Status,20,0,1,normal,Normal
gengar,confide,TRUE,0,Status,20,0,1,normal,Normal
onix,confide,TRUE,0,Status,20,0,1,normal,Normal
drowzee,confide,TRUE,0,Status,20,0,1,normal,Normal
hypno,confide,TRUE,0,Status,20,0,1,normal,Normal
krabby,confide,TRUE,0,Status,20,0,1,normal,Normal
kingler,confide,TRUE,0,Status,20,0,1,normal,Normal
voltorb,confide,TRUE,0,Status,20,0,1,normal,Normal
electrode,confide,TRUE,0,Status,20,0,1,normal,Normal
exeggcute,confide,TRUE,0,Status,20,0,1,normal,Normal
exeggutor,confide,TRUE,0,Status,20,0,1,normal,Normal
exeggutor-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
cubone,confide,TRUE,0,Status,20,0,1,normal,Normal
marowak,confide,TRUE,0,Status,20,0,1,normal,Normal
marowak-alola,confide,TRUE,0,Status,20,0,1,normal,Normal
hitmonlee,confide,TRUE,0,Status,20,0,1,normal,Normal
hitmonchan,confide,TRUE,0,Status,20,0,1,normal,Normal
lickitung,confide,TRUE,0,Status,20,0,1,normal,Normal
koffing,confide,TRUE,0,Status,20,0,1,normal,Normal
weezing,confide,TRUE,0,Status,20,0,1,normal,Normal
weezing-galar,confide,TRUE,0,Status,20,0,1,normal,Normal
rhyhorn,confide,TRUE,0,Status,20,0,1,normal,Normal
rhydon,confide,TRUE,0,Status,20,0,1,normal,Normal
chansey,confide,TRUE,0,Status,20,0,1,normal,Normal
tangela,confide,TRUE,0,Status,20,0,1,normal,Normal
kangaskhan,confide,TRUE,0,Status,20,0,1,normal,Normal
horsea,confide,TRUE,0,Status,20,0,1,normal,Normal
seadra,confide,TRUE,0,Status,20,0,1,normal,Normal
goldeen,confide,TRUE,0,Status,20,0,1,normal,Normal
seaking,confide,TRUE,0,Status,20,0,1,normal,Normal
staryu,confide,TRUE,0,Status,20,0,1,normal,Normal
starmie,confide,TRUE,0,Status,20,0,1,normal,Normal
mr. mime,confide,TRUE,0,Status,20,0,1,normal,Normal
mr. mime-galar,confide,TRUE,0,Status,20,0,1,normal,Normal
scyther,confide,TRUE,0,Status,20,0,1,normal,Normal
jynx,confide,TRUE,0,Status,20,0,1,normal,Normal
electabuzz,confide,TRUE,0,Status,20,0,1,normal,Normal
magmar,confide,TRUE,0,Status,20,0,1,normal,Normal
pinsir,confide,TRUE,0,Status,20,0,1,normal,Normal
tauros,confide,TRUE,0,Status,20,0,1,normal,Normal
gyarados,confide,TRUE,0,Status,20,0,1,normal,Normal
lapras,confide,TRUE,0,Status,20,0,1,normal,Normal
eevee,confide,TRUE,0,Status,20,0,1,normal,Normal
vaporeon,confide,TRUE,0,Status,20,0,1,normal,Normal
jolteon,confide,TRUE,0,Status,20,0,1,normal,Normal
flareon,confide,TRUE,0,Status,20,0,1,normal,Normal
porygon,confide,TRUE,0,Status,20,0,1,normal,Normal
omanyte,confide,TRUE,0,Status,20,0,1,normal,Normal
omastar,confide,TRUE,0,Status,20,0,1,normal,Normal
kabuto,confide,TRUE,0,Status,20,0,1,normal,Normal
kabutops,confide,TRUE,0,Status,20,0,1,normal,Normal
aerodactyl,confide,TRUE,0,Status,20,0,1,normal,Normal
snorlax,confide,TRUE,0,Status,20,0,1,normal,Normal
articuno,confide,TRUE,0,Status,20,0,1,normal,Normal
zapdos,confide,TRUE,0,Status,20,0,1,normal,Normal
moltres,confide,TRUE,0,Status,20,0,1,normal,Normal
dratini,confide,TRUE,0,Status,20,0,1,normal,Normal
dragonair,confide,TRUE,0,Status,20,0,1,normal,Normal
dragonite,confide,TRUE,0,Status,20,0,1,normal,Normal
mewtwo,confide,TRUE,0,Status,20,0,1,normal,Normal
mew,confide,TRUE,0,Status,20,0,1,normal,Normal
chikorita,confide,TRUE,0,Status,20,0,1,normal,Normal
bayleef,confide,TRUE,0,Status,20,0,1,normal,Normal
meganium,confide,TRUE,0,Status,20,0,1,normal,Normal
cyndaquil,confide,TRUE,0,Status,20,0,1,normal,Normal
quilava,confide,TRUE,0,Status,20,0,1,normal,Normal
typhlosion,confide,TRUE,0,Status,20,0,1,normal,Normal
